Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
06/01/2022,3381297,0.6,1465383,0.68,178742,0.54,159050,0.54,25586,0.87,943747,0.96,7084,0.44
06/02/2022,3351902,0.6,1433303,0.67,170537,0.51,151492,0.51,24764,0.85,959324,0.98,6783,0.42
06/03/2022,3283271,0.59,1431042,0.67,174500,0.52,153744,0.52,24838,0.85,1002106,1.02,6178,0.38
06/04/2022,2178024,0.68,904623,0.65,93431,0.76,92199,0.58,14409,0.83,957009,0.97,1844,0.36
06/05/2022,1724983,0.66,691644,0.64,75675,0.77,74005,0.68,13955,0.77,865693,0.94,1361,0.35
06/06/2022,3092181,0.55,1411725,0.66,167062,0.5,148152,0.5,22794,0.78,892799,0.91,6552,0.4
06/07/2022,3392224,0.6,1440940,0.67,185736,0.56,163756,0.55,25256,0.86,940766,0.96,7169,0.44
06/08/2022,3492805,0.62,1496144,0.7,181126,0.54,162417,0.55,26058,0.89,958676,0.97,7114,0.44
06/09/2022,3297157,0.59,1333103,0.62,179521,0.54,157460,0.53,25135,0.86,975009,0.99,6430,0.4
06/10/2022,3376125,0.6,1435660,0.67,187819,0.56,159223,0.54,25437,0.87,1028117,1.05,6304,0.39
06/11/2022,2231451,0.69,870550,0.62,117891,0.96,95108,0.6,14776,0.85,961805,0.98,1835,0.36
06/12/2022,1674607,0.64,626471,0.58,80792,0.82,74580,0.68,13440,0.74,883990,0.96,1209,0.31
06/13/2022,3168681,0.56,1440429,0.67,174264,0.52,150375,0.51,23697,0.81,943626,0.96,6608,0.41
06/14/2022,3494822,0.62,1493761,0.69,191198,0.57,174340,0.59,25372,0.87,954427,0.97,7276,0.45
06/15/2022,3526802,0.63,1478668,0.69,192593,0.58,169462,0.57,26904,0.92,965644,0.98,7153,0.44
06/16/2022,3409624,0.61,1397317,0.65,190212,0.57,162513,0.55,25856,0.88,993952,1.01,6720,0.41
06/17/2022,3247379,0.58,1397243,0.65,187179,0.56,148590,0.5,24338,0.83,1036376,1.05,6036,0.37
06/18/2022,2186635,0.68,884050,0.63,106091,0.86,94130,0.59,15136,0.87,987511,1,2613,0.52
06/19/2022,1725762,0.66,693231,0.64,90581,0.92,80654,0.74,15622,0.86,946443,1.02,1903,0.49
06/20/2022,2460659,0.94,1077190,0.99,167670,1.7,138080,1.27,15440,0.85,942148,1.02,4009,1.03
06/21/2022,3339793,0.6,1408052,0.66,190339,0.57,172400,0.58,25299,0.86,951906,0.97,7183,0.44
06/22/2022,3357113,0.6,1361456,0.63,178850,0.54,164196,0.56,25774,0.88,937068,0.95,6910,0.43
06/23/2022,3407485,0.61,1382605,0.64,188546,0.57,169144,0.57,25286,0.86,1004103,1.02,6716,0.41
06/24/2022,3296412,0.59,1331442,0.62,187818,0.56,161647,0.55,24414,0.83,1035312,1.05,6066,0.37
06/25/2022,2286963,0.71,888953,0.63,106000,0.86,102466,0.65,15274,0.88,994834,1.01,50,0.01
06/26/2022,2011977,0.77,696910,0.64,102452,1.04,99103,0.91,14574,0.81,962670,1.04,618,0.16
06/27/2022,2932598,0.52,1279403,0.6,171627,0.52,149284,0.5,22331,0.76,928436,0.94,6260,0.39
06/28/2022,3248338,0.58,1328144,0.62,199956,0.6,174878,0.59,24179,0.83,960666,0.98,6903,0.43
06/29/2022,3249261,0.58,1325530,0.62,191855,0.58,169146,0.57,25392,0.87,977984,0.99,6792,0.42
06/30/2022,3151572,0.56,1300241,0.6,191868,0.58,158265,0.54,24651,0.84,1011864,1.03,6407,0.4
07/01/2022,2827549,0.54,1221837,0.59,151245,0.48,117791,0.42,23983,0.85,998259,1.04,5291,0.38
07/02/2022,1847093,0.65,827668,0.61,84481,0.66,75179,0.49,12878,0.81,823425,0.89,2042,0.4
07/03/2022,1654774,0.71,703282,0.64,86602,0.83,73949,0.7,14822,0.9,845877,0.96,1909,0.53
07/04/2022,1608084,0.69,689986,0.63,85709,0.82,72464,0.68,10976,0.66,772949,0.87,2148,0.6
07/05/2022,2802814,0.53,1246208,0.6,169990,0.54,150170,0.53,22800,0.8,925869,0.96,5935,0.43
07/06/2022,3066462,0.58,1330990,0.64,173648,0.55,153543,0.54,25372,0.89,917894,0.95,6448,0.47
07/07/2022,3115604,0.59,1333373,0.64,173393,0.55,151105,0.53,25119,0.89,946553,0.98,6463,0.47
07/08/2022,2902322,0.55,1249434,0.6,163715,0.52,134620,0.48,24108,0.85,949529,0.99,5625,0.41
07/09/2022,2061419,0.73,885289,0.66,92765,0.73,89757,0.58,14546,0.92,917802,0.99,2563,0.5
07/10/2022,1681041,0.72,707984,0.65,82276,0.79,71195,0.67,14147,0.86,921110,1.04,2016,0.56
07/11/2022,2876587,0.54,1312895,0.63,167475,0.53,148113,0.52,23255,0.82,913992,0.95,6163,0.45
07/12/2022,3148320,0.6,1350346,0.65,180172,0.57,164494,0.58,24697,0.87,913137,0.95,6780,0.49
07/13/2022,3229387,0.61,1365172,0.66,178413,0.56,166187,0.59,25800,0.91,944299,0.98,6536,0.47
07/14/2022,3203104,0.61,1355975,0.65,174794,0.55,159599,0.56,25312,0.89,977841,1.02,6413,0.47
07/15/2022,3021651,0.57,1291217,0.62,171615,0.54,148858,0.53,24177,0.85,994183,1.03,5527,0.4
07/16/2022,2093206,0.74,859537,0.64,101758,0.8,98156,0.64,15226,0.96,939649,1.02,64,0.01
07/17/2022,1674922,0.72,701796,0.64,82028,0.78,80166,0.76,13868,0.84,900361,1.02,7,0
07/18/2022,2720012,0.52,1209240,0.58,162178,0.51,132779,0.47,22670,0.8,877737,0.91,5543,0.4
07/19/2022,3169016,0.6,1372407,0.66,180693,0.57,160294,0.57,24933,0.88,932398,0.97,6593,0.48
07/20/2022,3190942,0.6,1357383,0.66,180707,0.57,156988,0.55,25590,0.9,945289,0.98,6167,0.45
07/21/2022,3109097,0.59,1302978,0.63,173070,0.55,150414,0.53,24308,0.86,954280,0.99,6166,0.45
07/22/2022,2942752,0.56,1267907,0.61,174861,0.55,138068,0.49,23926,0.84,993037,1.03,5322,0.39
07/23/2022,2028696,0.72,862976,0.64,99341,0.78,86245,0.56,14503,0.91,945847,1.02,32,0.01
07/24/2022,1596195,0.68,674189,0.61,82656,0.79,68265,0.64,12751,0.77,908767,1.03,6,0
07/25/2022,2727722,0.52,1220826,0.59,163454,0.52,140432,0.5,22355,0.79,893016,0.93,5692,0.41
07/26/2022,3175001,0.6,1360570,0.66,186182,0.59,162994,0.58,24990,0.88,942025,0.98,6479,0.47
07/27/2022,3232796,0.61,1369023,0.66,185332,0.59,161241,0.57,25759,0.91,957557,1,6667,0.48
07/28/2022,3151913,0.6,1332113,0.64,173264,0.55,156936,0.55,24413,0.86,974290,1.01,6421,0.47
07/29/2022,2932846,0.56,1260714,0.61,166723,0.53,147568,0.52,23697,0.84,979719,1.02,5532,0.4
07/30/2022,2074421,0.73,893846,0.66,89426,0.7,96840,0.63,15068,0.95,954809,1.03,56,0.01
07/31/2022,1649097,0.71,693700,0.63,77991,0.74,78953,0.74,14046,0.85,929822,1.05,3,0
